ogc_fid,cartodb_id,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,GEOMETRY
265,303," Fish Dinner $9.50 Battered or Baked ~Fries or Mac N’ Cheese ~Coleslaw or Small Side Salad  Fish on a Dish $7.50 Chicken Planks (4) $7.50 Fish Nuggets $7.50 Fish Sandwich $7.95 Add Cheese $1.00 Mac N’ Cheese or Fries $1.25 Coleslaw $1.00 Small Side Salad $2.00 Season Waffle Fries $4.50 Steak Fries $4.50  Fish Nugget Salad $9.50 Salad, Mixed Veggie, Olives, Onions, Banana Pepper, Egg, Fries, Cheese  Breaded Shrimp (6) with Fries $7.50  Big Al Steak Sandwich w/ Fries $9.00 Italian Bread, 12 ounce steak, Provolone Cheese, Grilled Peppers and Onions  New England Clam Chowder  Cup  $4.00 Bowl $6.50 https://www.facebook.com/119948908081212/photos/a.208577879218314.50494.119948908081212/1268903269852431/?type=3&theater",,0,1,Kitchen Closes at 9: Last order at 8:45,http://ellwoodcitymoose.com/index.htm,,724-758-9254,,1,1,"1400 Factory Ave, Ellwood City, PA 16117",Community Organization,,"Ellwood City Loyal Order of the Moose, Lodge #93",1,
266,304,https://media.wix.com/ugd/ae8b04_f0a44a09191641a1baf93cd357551b1b.pdf,,1,1,online orders accepted,https://www.ssebastianparish.org/,,412-364-7171 ext. 8326,,1,,"311 Siebert Rd., Pittsburgh, PA",Church,,St. Sebastian,1,
267,305,,,1,1,,http://www.piperspub.com/,,412-381-3977,1,1,1,"1828 E Carson St., Pittsburgh, PA 15203",Restaurant,,Piper's Pub,1,
268,306,https://www.facebook.com/photo.php?fbid=10208443134812768&set=o.356370451124766&type=3&theater,1,1,1,,,,724-224-8342,,,,"787 Freeport Rd., Creighton, PA 15030",Church,,Holy Family (Creighton) - lunch only,1,
269,307,,,0,1,Note dates.,http://www.stpaulspgh.org/blog/fish-fry-time-/,,412-780-7606,,1,,"1066 Washington Road, Mt. Lebanon, PA",Church,,St. Paul's Episcopal,1,
270,308,,,,1,Fish Frys on Fridays during Lent. Call for more information.,,elks@elks1090.com,412-264-0846,,,,"1150 Stoops Ferry Road, Coraopolis PA 15108",Community Organization,,Coraopolis Elks Lodge #1090,1,
271,309,See website for menu.,,1,1,,http://www.aliquippacroatiancenter.com,,724-375-3021,,1,1,"2365 Concord Street, Aliquippa PA 15001",Community Organization,,Aliquippa Croatian Center,1,
272,310,,,1,1,https://www.facebook.com/photo.php?fbid=10154123687162827&set=gm.1863326233882485&type=3&theater,https://www.facebook.com/groups/1812124365669339/,,724-523-5308,,1,1,"2528 Newark Street, Grapeville, PA 15634",Fire Department,,Grapeville VFC,1,
273,311,many Lenten specials,,1,1,,https://www.facebook.com/pg/Boondas-Hometown-Pizza-635643803135613,,412-466-0464,,1,,"5622 Homeville Road, West Mifflin, PA 15122",Restaurant,,Boonda's ,1,
274,312,"Full Lenten menu, including 1-lb fish sandwich: http://www.renesrestaurant.net/?page_id=202",,1,1,,http://www.renesrestaurant.net/,,412-823-9544,,1,1,"1030 Fifth Avenue East McKeesport, PA",Restaurant,,Rene's,1,
275,313,"Menu includes Baked Fish, Fried Fish, Salmon, Crab Cakes, Shrimp, Mac & Cheese, French Fries, Cole Slaw and Assorted Desserts.  Eat in or take out. NO COST. Free and open to all. Donations gratefully accepted - benefit church food pantry.",,,1,,http://www.mlumc.org/,,412-531-7131,,,,"3319 W. Liberty Ave. Pittsburgh, PA 15216",Church,,Mt. Lebanon United Methodist Church,1,
276,314,"Every Friday in Lent 11-6:30.  Fried Fish, Shrimp, Crab Cakes, Baked Fish, Fries, Cole Slaw, Mac and Cheese, Zucchini Fries, Haluski, Soup",,1,1,,,,(724)292-8561,,1,,"700 E. Main St. Monongahela, PA",Church,,True Vine Anglican Church,1,
277,315,http://www.goodsam1.org/documents/FISHFRY2017.pdf,1,1,1,Pierogie sale on Good Friday from 9-5,http://www.goodsam1.org,Office@goodsam1.org,724-266-6010 ,,,,"8th and Melrose, Ambridge, PA",Church,,Good Samaritan Parish,1,
278,318,https://www.facebook.com/infernopizzanorthhuntingdonpa/photos/a.973337789424791.1073741829.954992927925944/1262489097176324/?type=3&theater,,1,1,,https://www.facebook.com/infernopizzanorthhuntingdonpa/,,,,,,"13380 US-30 Hwy Irwin, Pennsylvania",Restaurant,,"Inferno Pizza, Pasta, and Wings",1,
279,319,"Coleman’s fish, french fries, mac and cheese, meatless soup, cabbage and noodles, pierogi, stewed tomatoes, meatless spanish rice, coleslaw and desserts. For more information or to place orders call 304-232-1777.",1,1,1,,,,304-232-1777,1,1,0,"4136 Jacob St, Wheeling, WV 26003",Church,,Our Lady of Perpetual Help,1,
280,320,,,1,1,,,,304-845-2646,,1,,"710 Jefferson Ave., Glen Dale, WV",Church,,St. Jude Catholic Church,1,
281,321,"Coleman’s fish; cole slaw, french fries, onion rings, mac and cheese, pierogi, green beans and drinks dine in or take out will be available. ",,0,1,,,,304-243-1571,,1,,"621 Stone Church Rd., Wheeling, WV",Fire Department,,Stone Church VFD,1,
282,322,,,1,1,,https://www.facebook.com/events/1422747114442799/,,,,,,"179 Main St, Callery, Pennsylvania 16024",Fire Department,,Callery Fire Hall **Good Friday Only**,1,
283,323,"$10 gets you... - Our classic spiced cornmeal-crusted FISH SANDWICH on a hearty bun with a tasty Sriracha mayo ""tartar"" sauce – OR – a vegan sun dried tomato hummus/pickled carrots/arugula sandwich prepared by 52nd Street Market http://52ndstreetmarket.com/  - Coleslaw (vegan!), prepared by Apteka http://aptekapgh.com/  - Macaroni & cheese (vegetarian!), prepared by The Vandal http://www.thevandalpgh.com/  Plus, for a few bucks more... - Desserts provided by Ben Houck - Drinks both alcoholic and non from Spirit’s fully-stocked bar (don't forget your ID!)",,,1,"We're back again, and on the last day of the 2017 fish fry season!  Keep Pittsburgh Fishy is an annual secular fish fry benefiting local progressive organizations. Get your fish fry fix while supporting equality!  This year, our proceeds will benefit New Voices Pittsburgh, a local organization dedicated to the health and well-being of Black women and girls through leadership development, Human Rights and Reproductive Justice.  We'll be partnering with local restaurants to bring you some awesome side dishes to enjoy with our classic fish sandwiches and a delicious vegetarian-friendly option. In addition to that, we'll have a dessert table, raffle, photobooth, drinks, and live entertainment. This is an all-ages event!",https://www.facebook.com/events/792100320951360/,,,,,,"242 51st street, pittsburgh, pa",Other,,Keep Pittsburgh Fishy Annual Secular Fish Fry (Good Friday Only),1,
